lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,conv_paral_abs,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,target
-71.82,-39.2,0,283,-71.82,-39.2,0.040999999999999995,793,-74.74,-38.62,8.94,-24.45,1.68,145.61,0.17,103.61,911,201,13.21,13.21,8.14,-3.7,3.7,-1.38,0.95,-7.29,-22.12,6.76,-2.75,26.92,0.08,107.08,85.84,1.73,SA_VOLCANIC
-71.6,-38.4,2,283,-71.244,-38.294000000000004,0.042,776,-74.3,-38.19,8.94,-12.86,1.67,157.24,0.16,92.32,911,201,13.54,13.54,8.72,-1.99,1.99,-1.54,0.65,-7.3,-10.54,7.17,-1.33,31.22,0.09,106.28,91.29,1.68,SA_VOLCANIC
-70.61,-38.3,0,283,-70.61,-38.3,0.055,796,-74.66,-38.29,8.95,-13.18,1.68,156.99,0.16,92.31,911,201,13.54,13.54,8.71,-2.04,2.04,-1.55,0.66,-7.29,-10.87,7.16,-1.38,30.48,0.09,104.31,91.3,1.73,SA_VOLCANIC
-68.5,-20.93,2,201,-68.141,-20.825,0.044000000000000004,891,-70.8,-21.39,8.95,-0.79,1.95,174.21,0.18,78.5,911,201,30.73,30.73,8.95,-0.12,0.12,-1.94,0.2,-7.0,0.67,7.0,0.08,56.86,0.14,31.27,128.21,2.17,SA_VOLCANIC
-68.47,-21.2,2,201,-68.111,-21.095,0.044000000000000004,898,-70.72,-21.73,8.95,-0.79,1.95,174.19,0.18,78.47,911,201,30.37,30.37,8.95,-0.12,0.12,-1.94,0.2,-7.02,0.67,7.02,0.08,55.42,0.13,31.27,126.59,2.17,SA_VOLCANIC
-68.29,-21.32,1,201,-68.111,-21.267,0.046,913,-70.9,-21.79,8.96,-0.94,1.95,174.05,0.18,78.47,911,201,30.37,30.37,8.96,-0.15,0.15,-1.94,0.2,-7.02,0.52,7.02,0.06,54.13,0.13,32.75,125.1,2.22,SA_VOLCANIC
-68.33,-21.8,2,201,-67.971,-21.695,0.045,899,-70.71,-21.91,8.96,-17.12,1.95,157.84,0.18,94.81,911,201,30.2,30.2,8.56,-2.64,2.64,-1.8,0.73,-7.02,-15.66,6.76,-1.9,55.42,0.13,31.27,126.59,2.17,SA_VOLCANIC
-67.95,-22.41,2,201,-67.592,-22.305,0.051,896,-70.74,-22.26,8.96,-17.11,1.94,157.78,0.18,94.82,911,201,29.84,29.84,8.57,-2.64,2.64,-1.8,0.73,-7.03,-15.64,6.77,-1.9,55.42,0.13,31.27,126.59,2.17,SA_VOLCANIC
-68.18,-21.3,0,201,-68.18,-21.3,0.048,918,-71.08,-21.84,8.97,-1.09,1.95,173.91,0.18,78.46,911,201,30.37,30.37,8.97,-0.17,0.17,-1.94,0.21,-7.02,0.37,7.02,0.04,53.13,0.13,37.23,123.9,2.22,SA_VOLCANIC
-68.48,-21.83,0,201,-68.48,-21.83,0.042,919,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911,201,30.2,30.2,8.56,-2.69,2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22,SA_VOLCANIC
-67.89,-22.79,2,201,-67.532,-22.685,0.052000000000000005,895,-70.76,-22.44,8.97,-17.1,1.94,157.75,0.18,94.83,911,201,29.66,29.66,8.57,-2.64,2.64,-1.79,0.73,-7.04,-15.62,6.78,-1.9,55.42,0.13,31.27,126.59,2.17,SA_VOLCANIC
-75.85,-35.58,2,911,-77.45,-35.744,0.052000000000000005,788,-73.89,-36.53,8.97,-26.18,1.71,144.51,0.19,105.47,911,201,15.24,15.24,8.05,-3.96,3.96,-1.39,0.99,-7.29,-23.95,6.67,-2.96,32.37,0.1,83.9,94.33,1.82,SA_VOLCANIC
-75.8,-35.8,2,911,-77.405,-35.965,0.05,787,-73.95,-36.71,8.97,-26.19,1.7,144.43,0.19,105.5,911,201,15.05,15.05,8.05,-3.96,3.96,-1.39,0.99,-7.29,-23.95,6.67,-2.96,32.37,0.1,83.9,94.33,1.82,SA_VOLCANIC
-70.06,-37.21,2,2901,-69.706,-37.104,0.059000000000000004,789,-73.82,-36.35,8.97,-26.17,1.71,144.59,0.19,105.43,911,201,15.42,15.42,8.05,-3.96,3.96,-1.39,0.99,-7.29,-23.95,6.66,-2.96,33.34,0.1,83.9,95.89,1.93,SA_VOLCANIC
-67.78,-23.32,2,202,-67.423,-23.215,0.055,890,-70.81,-22.97,8.98,-17.08,1.93,157.66,0.18,94.85,911,201,29.13,29.13,8.58,-2.64,2.64,-1.79,0.73,-7.06,-15.58,6.8,-1.9,53.94,0.13,31.47,124.86,2.18,SA_VOLCANIC
-75.85,-35.2,2,911,-77.442,-35.364000000000004,0.054000000000000006,791,-73.76,-36.17,8.98,-26.16,1.71,144.67,0.19,105.39,911,201,15.61,15.61,8.06,-3.96,3.96,-1.4,0.99,-7.29,-23.95,6.66,-2.96,33.34,0.1,83.9,95.89,1.93,SA_VOLCANIC
-69.0,-37.1,1,2901,-68.82300000000001,-37.047,0.073,810,-73.72,-35.68,8.99,-32.37,1.73,138.72,0.19,111.33,911,201,16.18,16.18,7.59,-4.81,4.81,-1.3,1.14,-7.29,-30.2,6.3,-3.67,35.42,0.1,89.99,99.18,1.9,SA_VOLCANIC
-67.6,-24.0,2,202,-67.243,-23.895,0.057999999999999996,886,-70.87,-23.54,8.99,-17.97,1.92,156.65,0.2,95.77,911,201,28.56,28.56,8.55,-2.77,2.77,-1.77,0.76,-7.07,-16.45,6.78,-2.0,52.44,0.14,32.96,123.03,2.19,SA_VOLCANIC
-68.32,-24.14,2,202,-67.962,-24.035,0.047,884,-70.89,-23.74,8.99,-17.96,1.92,156.61,0.2,95.78,911,201,28.36,28.36,8.55,-2.77,2.77,-1.76,0.76,-7.08,-16.43,6.79,-2.0,52.44,0.14,32.96,123.03,2.19,SA_VOLCANIC
-68.33,-24.3,2,202,-67.972,-24.195,0.047,879,-70.91,-23.93,8.99,-17.96,1.92,156.58,0.2,95.79,911,201,28.16,28.16,8.55,-2.77,2.77,-1.76,0.76,-7.09,-16.42,6.8,-2.0,52.44,0.14,32.96,123.03,2.19,SA_VOLCANIC
-68.36,-24.4,2,202,-68.002,-24.295,0.047,878,-70.93,-24.13,8.99,-17.95,1.91,156.54,0.2,95.8,911,201,27.97,27.97,8.56,-2.77,2.77,-1.76,0.76,-7.09,-16.41,6.8,-2.0,52.44,0.14,32.96,123.03,2.19,SA_VOLCANIC
-71.0,-36.0,2,2901,-70.64399999999999,-35.894,0.04,799,-73.29,-35.1,8.99,-32.18,1.73,139.11,0.19,111.19,911,201,16.74,16.74,7.61,-4.79,4.79,-1.31,1.13,-7.29,-30.06,6.31,-3.65,35.58,0.1,79.87,99.42,1.93,SA_VOLCANIC
-71.27,-36.2,2,2901,-70.914,-36.094,0.038,798,-73.37,-35.28,8.99,-32.19,1.73,139.02,0.19,111.24,911,201,16.55,16.55,7.61,-4.79,4.79,-1.31,1.13,-7.29,-30.05,6.31,-3.65,35.58,0.1,79.87,99.42,1.93,SA_VOLCANIC
-69.86,-36.75,2,2901,-69.506,-36.644,0.06,795,-73.54,-35.63,8.99,-32.21,1.72,138.85,0.19,111.34,911,201,16.18,16.18,7.6,-4.79,4.79,-1.3,1.13,-7.29,-30.04,6.31,-3.65,35.58,0.1,83.9,99.42,1.93,SA_VOLCANIC
-70.85,-35.58,0,2901,-70.85,-35.58,0.04,823,-73.48,-34.86,9.0,-32.48,1.75,139.02,0.19,111.09,911,201,17.12,17.12,7.6,-4.83,4.83,-1.32,1.15,-7.28,-30.39,6.28,-3.68,36.18,0.1,92.18,100.35,1.9,SA_VOLCANIC
-70.83,-36.0,0,2901,-70.83,-36.0,0.042,819,-73.65,-35.21,9.0,-32.49,1.74,138.85,0.19,111.18,911,201,16.74,16.74,7.59,-4.83,4.83,-1.31,1.15,-7.28,-30.38,6.28,-3.68,34.05,0.1,92.18,97.02,1.9,SA_VOLCANIC
-71.27,-36.2,0,2901,-71.27,-36.2,0.038,818,-73.73,-35.39,9.0,-32.5,1.74,138.76,0.19,111.23,911,201,16.55,16.55,7.59,-4.83,4.83,-1.31,1.15,-7.28,-30.37,6.28,-3.68,34.05,0.1,92.18,97.02,1.9,SA_VOLCANIC
-68.56,-24.68,2,202,-68.202,-24.575,0.044000000000000004,876,-70.96,-24.32,9.0,-17.95,1.91,156.5,0.2,95.81,911,201,27.77,27.77,8.56,-2.77,2.77,-1.75,0.76,-7.1,-16.39,6.81,-2.0,52.44,0.14,32.96,123.03,2.19,SA_VOLCANIC
-68.52,-24.74,2,202,-68.16199999999999,-24.635,0.045,875,-70.98,-24.51,9.0,-17.94,1.91,156.46,0.2,95.82,911,201,27.58,27.58,8.56,-2.77,2.77,-1.75,0.76,-7.1,-16.38,6.81,-2.0,50.82,0.14,35.85,121.06,2.21,SA_VOLCANIC
-68.52,-25.13,2,202,-68.163,-25.025,0.045,872,-71.02,-24.9,9.0,-17.93,1.9,156.39,0.2,95.84,911,201,27.19,27.19,8.57,-2.77,2.77,-1.74,0.76,-7.11,-16.35,6.82,-2.0,50.82,0.14,35.85,121.06,2.21,SA_VOLCANIC
-70.57,-35.24,2,2901,-70.214,-35.134,0.040999999999999995,807,-72.88,-34.23,9.0,-32.14,1.75,139.54,0.19,110.96,911,201,17.68,17.68,7.62,-4.79,4.79,-1.33,1.13,-7.28,-30.08,6.3,-3.65,36.38,0.1,70.37,100.67,2.0,SA_VOLCANIC
-69.85,-35.46,2,2901,-69.495,-35.354,0.052000000000000005,806,-72.96,-34.4,9.0,-32.14,1.74,139.45,0.19,111.01,911,201,17.5,17.5,7.62,-4.79,4.79,-1.33,1.13,-7.28,-30.08,6.3,-3.65,36.38,0.1,70.37,100.67,2.0,SA_VOLCANIC
-70.85,-35.58,2,2901,-70.494,-35.474000000000004,0.04,803,-73.12,-34.75,9.0,-32.16,1.74,139.28,0.19,111.1,911,201,17.12,17.12,7.62,-4.79,4.79,-1.32,1.13,-7.28,-30.07,6.3,-3.65,35.58,0.1,79.87,99.42,1.93,SA_VOLCANIC
-70.67,-35.6,2,2901,-70.314,-35.494,0.042,804,-73.04,-34.58,9.0,-32.15,1.74,139.37,0.19,111.05,911,201,17.31,17.31,7.62,-4.79,4.79,-1.32,1.13,-7.28,-30.07,6.3,-3.65,35.58,0.1,79.87,99.42,1.93,SA_VOLCANIC
-70.48,-35.93,2,2901,-70.125,-35.824,0.047,801,-73.21,-34.93,9.0,-32.17,1.74,139.2,0.19,111.15,911,201,16.93,16.93,7.61,-4.79,4.79,-1.31,1.13,-7.28,-30.06,6.3,-3.65,35.58,0.1,79.87,99.42,1.93,SA_VOLCANIC
-68.52,-25.3,0,202,-68.52,-25.3,0.045,892,-71.38,-25.01,9.01,-18.24,1.91,156.11,0.2,95.82,911,201,27.19,27.19,8.56,-2.82,2.82,-1.75,0.77,-7.12,-16.66,6.82,-2.04,47.81,0.13,43.24,117.19,2.17,SA_VOLCANIC
-70.5,-35.0,2,2901,-70.14399999999999,-34.894,0.040999999999999995,809,-72.8,-34.05,9.01,-32.13,1.75,139.62,0.19,110.91,911,201,17.87,17.87,7.63,-4.79,4.79,-1.33,1.13,-7.28,-30.09,6.3,-3.65,36.38,0.1,70.37,100.67,2.0,SA_VOLCANIC
-68.66,-35.02,2,2901,-68.307,-34.915,0.066,812,-72.64,-33.7,9.01,-32.11,1.76,139.79,0.19,110.82,911,201,18.25,18.25,7.63,-4.79,4.79,-1.34,1.13,-7.27,-30.11,6.29,-3.65,38.6,0.1,70.37,104.08,2.0,SA_VOLCANIC
