conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
5.74,0.08,0.03,75.48,1.44
5.57,0.77,0.04,75.48,1.39
7.52,5.04,0.08,99.15,1.66
7.29,3.27,0.08,96.2,1.66
7.26,3.07,0.08,96.2,1.66
7.83,7.55,0.08,105.99,1.68
7.81,7.36,0.08,105.99,1.68
7.76,6.97,0.08,104.99,1.66
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
7.29,3.27,0.08,96.2,1.66
6.99,1.09,0.06,95.64,1.66
4.38,5.73,0.02,48.01,1.15
4.37,3.16,0.02,23.79,0.82
4.37,3.16,0.02,23.79,0.82
-4.76,0.78,0.0,98.8,1.65
4.36,2.02,0.01,29.08,1.61
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,2.18,0.02,11.58,0.96
4.39,0.09,0.01,4.13,0.72
4.39,6.45,0.02,53.1,1.15
4.39,6.32,0.02,53.1,1.22
4.39,4.38,0.02,41.55,1.23
4.39,3.13,0.02,22.52,1.12
4.39,1.15,0.01,4.13,0.81
4.39,2.36,0.02,11.58,0.96
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,4.38,0.02,41.55,1.23
4.39,3.84,0.03,41.55,1.26
4.39,6.14,0.03,53.1,1.22
4.39,6.14,0.03,53.1,1.22
-4.76,0.78,0.0,98.8,1.65
-4.76,0.78,0.0,98.8,1.65
4.37,2.76,0.02,29.08,0.82
-4.76,0.78,0.0,98.8,1.65
-4.76,0.78,0.0,98.8,1.65
4.38,4.28,0.01,24.27,0.74
5.61,8.44,0.07,39.58,2.22
5.68,9.24,0.08,39.78,2.22
5.74,9.81,0.09,40.57,2.21
5.89,11.41,0.09,42.53,2.21
5.76,10.01,0.09,41.26,2.21
5.98,12.36,0.09,38.97,2.19
6.09,13.71,0.09,37.76,2.19
5.98,12.36,0.09,38.97,2.19
6.18,14.69,0.09,34.24,2.19
6.24,15.47,0.1,34.51,2.17
6.16,14.49,0.09,38.24,2.19
6.18,14.69,0.09,34.24,2.19
6.6,14.64,0.08,35.41,2.19
6.48,16.37,0.1,34.91,2.16
6.53,15.79,0.1,34.91,2.17
6.45,16.76,0.1,34.91,2.17
6.45,16.76,0.1,34.91,2.17
6.31,16.26,0.1,34.78,2.17
6.31,16.26,0.1,34.78,2.17
6.41,17.34,0.1,34.74,2.17
5.98,12.36,0.09,38.97,2.19
5.98,12.36,0.09,38.97,2.19
6.16,14.49,0.09,38.24,2.19
6.08,13.51,0.09,37.76,2.19
6.23,15.28,0.1,34.51,2.17
6.62,14.26,0.08,35.65,2.19
6.6,14.64,0.08,35.41,2.19
6.65,13.87,0.08,36.11,2.19
6.79,11.4,0.06,38.72,2.2
6.74,12.34,0.08,38.21,2.2
6.69,13.11,0.08,37.98,2.19
6.65,13.87,0.08,36.11,2.19
6.78,11.59,0.06,38.72,2.17
6.71,12.73,0.08,37.98,2.19
6.77,11.77,0.08,38.72,2.17
5.01,2.58,0.07,76.63,2.02
5.11,3.54,0.07,71.08,2.06
4.81,0.67,0.06,89.12,1.94
4.74,0.1,0.06,89.12,1.89
4.85,1.05,0.06,89.12,1.94
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.81,0.67,0.06,89.12,1.94
4.78,0.48,0.06,89.12,1.94
4.97,2.2,0.07,76.63,2.02
4.93,1.82,0.06,76.63,2.02
4.87,1.24,0.06,89.12,1.94
4.89,1.43,0.06,89.12,1.94
4.81,0.67,0.06,89.12,1.94
4.91,1.63,0.06,76.63,2.02
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
5.87,11.22,0.09,41.94,2.21
5.62,8.6,0.07,39.78,2.22
5.65,8.9,0.07,39.78,2.22
5.44,6.78,0.07,62.19,2.16
5.49,7.25,0.07,62.19,2.21
5.29,5.26,0.07,62.92,2.12
5.33,5.64,0.07,62.92,2.12
5.4,6.41,0.08,62.19,2.16
5.4,6.41,0.08,62.19,2.16
5.17,4.11,0.07,62.92,2.06
5.01,2.58,0.07,76.63,2.02
5.09,3.35,0.07,71.08,2.06
4.87,1.24,0.06,89.12,1.94
4.93,1.82,0.06,76.63,2.02
5.09,3.35,0.07,71.08,2.06
5.17,4.11,0.07,62.92,2.06
5.07,3.16,0.07,71.08,2.06
5.33,5.64,0.07,62.92,2.12
5.21,4.49,0.07,62.92,2.1
5.25,4.88,0.07,62.92,2.12
4.78,0.48,0.06,89.12,1.94
5.25,4.88,0.07,62.92,2.12
5.03,2.77,0.07,76.63,2.02
5.15,3.92,0.07,71.08,2.06
4.93,1.82,0.06,76.63,2.02
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
4.97,3.09,0.03,43.79,1.34
4.7,3.74,0.01,22.68,0.89
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
5.33,1.69,0.04,43.79,1.34
5.74,0.08,0.03,75.48,1.44
5.74,0.08,0.03,75.48,1.44
5.74,0.08,0.03,75.48,1.44
5.74,0.08,0.03,75.48,1.44
5.29,1.87,0.03,43.79,1.34
5.57,0.77,0.04,75.48,1.39
5.38,1.51,0.04,57.78,1.34
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
6.86,0.1,0.06,88.16,1.65
7.52,5.04,0.08,99.15,1.66
7.39,4.06,0.08,96.2,1.66
7.57,5.43,0.08,99.19,1.67
7.42,4.25,0.08,96.2,1.66
7.42,4.25,0.08,96.2,1.66
7.15,2.28,0.08,95.64,1.65
7.13,2.08,0.08,95.64,1.65
7.26,3.07,0.08,96.2,1.66
7.86,7.74,0.08,105.99,1.68
7.86,7.74,0.08,105.99,1.68
7.71,6.59,0.08,99.19,1.66
7.69,6.39,0.08,99.19,1.66
7.83,7.55,0.08,105.99,1.68
7.88,7.93,0.08,105.99,1.68
7.86,7.74,0.08,105.99,1.68
7.78,7.17,0.08,104.99,1.66
7.92,8.0,0.08,105.99,1.68
7.67,6.2,0.08,99.19,1.67
7.62,5.82,0.08,99.19,1.67
7.64,6.01,0.08,99.19,1.67
7.92,8.0,0.08,105.99,1.68
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
7.15,2.28,0.08,95.64,1.65
6.99,1.09,0.06,95.64,1.66
7.42,4.25,0.08,96.2,1.66
7.29,3.27,0.08,96.2,1.66
7.15,2.28,0.08,95.64,1.65
6.99,1.09,0.06,95.64,1.66
7.15,2.28,0.08,95.64,1.65
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
7.71,6.59,0.08,99.19,1.66
7.59,5.62,0.08,99.19,1.67
7.44,4.45,0.08,96.2,1.66
4.39,6.27,0.02,53.1,1.15
4.38,5.73,0.02,48.01,1.15
4.38,5.91,0.02,53.1,1.15
4.38,4.46,0.01,24.27,0.74
4.38,4.63,0.01,24.27,0.74
4.38,5.36,0.02,48.01,0.62
4.38,4.28,0.01,24.27,0.74
4.38,4.46,0.01,24.27,0.74
4.36,2.36,0.02,29.08,0.82
4.36,2.36,0.02,29.08,0.82
4.37,3.16,0.02,23.79,0.82
-4.75,0.97,0.0,77.31,1.61
-4.73,1.15,0.0,77.31,1.61
4.36,1.86,0.01,29.08,1.61
4.37,3.16,0.02,23.79,0.82
4.36,2.36,0.02,29.08,0.82
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.97,0.01,4.13,0.81
4.39,1.32,0.01,4.13,0.81
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.27,0.01,4.13,0.72
4.39,2.75,0.03,22.52,1.12
4.39,2.94,0.03,22.52,1.12
4.39,1.84,0.02,11.58,1.05
4.39,0.62,0.01,4.13,0.92
4.39,0.09,0.01,4.13,0.72
4.39,0.62,0.01,4.13,0.92
4.39,5.44,0.02,42.75,1.22
4.39,5.44,0.02,42.75,1.22
4.39,3.49,0.02,22.52,1.13
4.38,5.54,0.02,48.01,1.15
4.38,5.91,0.02,53.1,1.15
4.39,6.62,0.02,53.1,1.15
4.39,5.27,0.02,41.55,1.23
4.39,4.38,0.02,41.55,1.23
4.39,5.44,0.02,42.75,1.22
4.39,3.84,0.03,41.55,1.26
4.39,2.75,0.03,22.52,1.12
4.39,3.49,0.02,22.52,1.13
4.39,2.18,0.02,11.58,0.96
4.39,1.32,0.01,4.13,0.81
4.39,2.01,0.02,11.58,0.96
4.39,0.62,0.01,4.13,0.92
4.39,1.15,0.01,4.13,0.81
4.39,1.67,0.01,11.58,1.05
4.39,2.75,0.03,22.52,1.12
4.39,3.13,0.02,22.52,1.12
4.39,2.01,0.02,11.58,0.96
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.45,0.01,4.13,0.92
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,1.84,0.02,11.58,1.05
4.39,3.66,0.03,22.52,1.26
4.39,2.55,0.03,11.58,1.12
4.39,4.38,0.02,41.55,1.23
