conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
13.38,19.7,2.49,-121.24,0.19,16.51,12.6,4.51,-1.29,-2.12,-11.57,11.96,11.32,2.4,84.42,22.39,152.11,2.69,False
2.44,24.28,-4.42,-67.62,0.2,4.34,2.23,1.0,1.68,-4.09,-4.98,-38.33,3.91,-3.09,93.42,16.22,154.21,2.7,False
5.65,12.78,4.03,-122.3,0.19,0.66,5.51,1.25,-2.15,-3.4,-4.0,-32.46,3.38,-2.15,36.78,0.0,101.33,2.54,False
10.22,22.69,4.99,-110.68,0.19,18.37,9.43,3.94,-1.76,-4.67,-7.69,-5.35,7.65,-0.72,84.96,32.92,150.3,2.49,False
11.01,-2.41,4.95,-120.59,0.17,13.39,11.0,-0.46,-2.52,-4.26,-9.7,-29.08,8.48,-4.72,82.54,31.63,148.98,2.35,False
6.92,-28.76,2.55,-156.49,0.19,14.79,6.07,-3.33,-2.33,-1.02,-5.73,-49.21,3.74,-4.34,95.57,15.67,155.45,2.71,False
13.35,-4.71,2.47,-144.87,0.19,16.3,13.3,-1.1,-2.02,-1.42,-11.57,-12.53,11.29,-2.51,77.18,23.36,148.44,2.67,False
12.34,-16.64,3.74,-159.77,0.19,17.62,11.82,-3.53,-3.51,-1.29,-9.62,-30.21,8.32,-4.84,64.08,14.81,135.62,2.51,False
9.52,12.09,1.94,-116.04,0.19,2.41,9.31,1.99,-0.85,-1.74,-8.47,1.7,8.46,0.25,83.37,6.26,149.27,2.8,False
9.21,-0.53,2.39,-138.93,0.19,18.93,9.21,-0.09,-1.8,-1.57,-7.57,-12.57,7.39,-1.65,21.09,10.91,75.22,1.87,False
9.6,11.9,1.94,-116.46,0.19,3.02,9.39,1.98,-0.86,-1.74,-8.54,1.63,8.53,0.24,84.72,9.16,150.04,2.78,False
15.94,43.35,6.32,-124.05,0.19,18.75,11.59,10.94,-3.54,-5.24,-9.87,35.08,8.08,5.67,90.99,23.4,153.15,2.61,False
