conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
5.8,-46.72,1.63,98.58,0.2,0.55,3.97,-4.22,-0.24,1.61,-4.55,-35.1,3.72,-2.62,64.66,14.6,136.43,2.59,True
10.75,25.45,2.09,-164.45,0.2,18.33,9.7,4.62,-2.01,-0.56,-8.7,27.86,7.69,4.06,39.55,63.89,105.54,2.16,True
8.23,12.63,-2.43,-75.24,0.19,11.3,8.03,1.8,0.62,-2.35,-8.67,-3.63,8.66,-0.55,44.8,11.59,89.45,2.2,True
7.86,32.48,-2.43,-56.14,0.19,15.13,6.63,4.22,1.36,-2.02,-8.3,15.43,8.0,2.21,29.15,11.59,85.95,2.17,True
10.78,25.95,2.18,-159.37,0.2,17.74,9.69,4.72,-2.04,-0.77,-8.61,27.33,7.65,3.95,50.43,44.87,120.63,2.13,True
8.12,12.8,-2.43,-75.23,0.19,12.44,7.92,1.8,0.62,-2.35,-8.56,-3.68,8.55,-0.55,39.34,11.59,89.39,2.18,True
11.13,53.96,3.14,-126.27,0.19,27.81,6.55,9.0,-1.86,-2.53,-7.99,53.86,4.71,6.45,94.35,17.21,154.6,2.55,True
10.81,9.94,2.71,-153.99,0.19,14.84,10.65,1.87,-2.43,-1.19,-8.24,4.82,8.21,0.69,60.09,31.36,131.7,2.27,True
11.37,17.99,2.71,-154.41,0.19,15.81,10.82,3.51,-2.44,-1.17,-8.69,15.67,8.37,2.35,46.41,68.65,112.09,2.12,True
11.62,28.06,2.71,-143.94,0.2,20.87,10.26,5.47,-2.19,-1.6,-8.94,25.69,8.06,3.88,63.51,24.68,135.06,2.32,True
11.15,74.18,3.14,-105.88,0.19,27.62,3.04,10.73,-0.86,-3.02,-8.01,74.01,2.21,7.7,94.35,17.21,154.6,2.55,True
6.01,50.67,2.58,-154.92,0.19,29.14,3.81,4.65,-2.34,-1.09,-3.84,67.32,1.48,3.54,79.69,30.62,148.22,2.5,True
8.14,12.78,-2.43,-75.23,0.19,12.25,7.93,1.8,0.62,-2.35,-8.58,-3.67,8.57,-0.55,39.34,11.59,89.39,2.18,True
11.18,51.58,3.13,-126.27,0.19,27.81,6.95,8.76,-1.85,-2.52,-8.06,50.56,5.12,6.22,98.17,12.99,156.17,2.56,True
13.29,30.7,2.98,-121.87,0.19,27.81,11.43,6.79,-1.57,-2.53,-10.75,23.32,9.87,4.25,101.7,20.04,157.58,2.58,True
11.15,74.18,3.14,-105.88,0.19,27.62,3.04,10.73,-0.86,-3.02,-8.01,74.01,2.21,7.7,94.35,17.21,154.6,2.55,True
5.9,51.52,2.57,-154.79,0.19,29.9,3.67,4.62,-2.32,-1.09,-3.77,68.85,1.36,3.51,79.24,32.6,147.08,2.5,True
5.9,51.52,2.57,-154.79,0.19,29.9,3.67,4.62,-2.32,-1.09,-3.77,68.85,1.36,3.51,79.24,32.6,147.08,2.5,True
10.97,10.47,2.71,-153.8,0.19,16.19,10.79,1.99,-2.43,-1.2,-8.39,5.54,8.35,0.81,65.7,37.1,137.11,2.59,True
8.17,12.72,-2.43,-75.24,0.19,11.87,7.97,1.8,0.62,-2.35,-8.62,-3.66,8.6,-0.55,44.8,11.59,89.39,2.2,True
11.34,18.22,2.71,-154.3,0.19,15.23,10.77,3.54,-2.44,-1.17,-8.66,15.92,8.32,2.37,50.05,56.94,120.31,2.12,True
10.71,15.9,2.18,-169.57,0.19,16.19,10.3,2.93,-2.15,-0.4,-8.54,17.34,8.15,2.55,43.87,75.08,111.85,2.15,True
11.16,73.94,3.14,-105.94,0.19,27.42,3.09,10.73,-0.86,-3.02,-8.02,73.69,2.25,7.7,94.35,17.21,154.6,2.54,True
13.38,31.55,2.98,-120.51,0.19,26.26,11.4,7.0,-1.51,-2.57,-10.84,24.1,9.9,4.43,99.27,20.56,156.78,2.57,True
8.26,12.58,-2.43,-75.25,0.19,10.91,8.06,1.8,0.62,-2.35,-8.71,-3.62,8.69,-0.55,44.8,11.59,89.45,2.2,True
11.21,19.68,2.71,-143.87,0.2,17.94,10.55,3.78,-2.19,-1.6,-8.64,14.68,8.35,2.19,62.71,24.14,134.04,2.31,True
11.75,15.0,2.88,-146.48,0.19,16.39,11.35,3.04,-2.4,-1.59,-9.06,9.23,8.94,1.45,79.47,25.47,147.03,2.57,True
10.95,10.15,2.71,-153.91,0.19,16.0,10.78,1.93,-2.44,-1.19,-8.38,5.14,8.34,0.75,61.16,41.3,132.77,2.29,True
10.0,25.53,2.89,-123.66,0.19,28.95,9.02,4.31,-1.6,-2.41,-7.67,14.34,7.43,1.9,83.12,5.06,149.29,2.5,True
11.28,19.56,2.71,-143.87,0.2,18.53,10.63,3.78,-2.19,-1.6,-8.71,14.56,8.43,2.19,62.45,24.14,134.04,2.31,True
8.15,12.75,-2.43,-75.23,0.19,12.06,7.95,1.8,0.62,-2.35,-8.6,-3.67,8.58,-0.55,39.34,11.59,89.39,2.18,True
10.83,25.29,2.06,-164.02,0.2,21.66,9.79,4.63,-1.98,-0.57,-8.81,27.5,7.81,4.07,46.22,38.88,115.09,2.17,True
11.14,53.89,3.13,-125.9,0.19,28.0,6.56,9.0,-1.84,-2.54,-8.0,53.61,4.75,6.44,92.06,29.6,154.06,2.54,True
10.48,-17.71,2.7,178.23,0.2,12.5,9.99,-3.19,-2.7,0.08,-7.91,-22.98,7.28,-3.09,43.62,27.02,111.4,2.09,True
11.37,18.32,2.71,-154.21,0.19,15.81,10.79,3.57,-2.44,-1.18,-8.69,16.04,8.35,2.4,56.64,43.39,128.0,2.1,True
8.14,12.78,-2.43,-75.23,0.19,12.25,7.93,1.8,0.62,-2.35,-8.58,-3.67,8.57,-0.55,39.34,11.59,89.39,2.18,True
11.18,51.58,3.13,-126.27,0.19,27.81,6.95,8.76,-1.85,-2.52,-8.06,50.56,5.12,6.22,98.17,12.99,156.17,2.56,True
10.83,25.33,2.06,-163.89,0.2,21.66,9.79,4.63,-1.98,-0.57,-8.8,27.52,7.81,4.07,48.4,35.85,118.03,2.14,True
