conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
4.68,6.84,4.24,-159.89,0.18,25.03,4.65,0.56,-3.98,-1.46,-1.15,-53.8,0.68,-0.93,58.62,37.2,130.17,2.4,False
3.65,-65.63,-3.93,-9.14,0.2,9.18,1.5,-3.32,3.88,-0.62,-6.69,-36.4,5.39,-3.97,39.88,31.44,106.15,2.28,False
12.23,28.59,2.43,-100.82,0.18,19.49,10.74,5.85,-0.46,-2.39,-10.86,18.59,10.29,3.46,25.65,29.51,87.2,2.12,False
9.4,-11.59,2.43,-127.17,0.18,21.14,9.21,-1.89,-1.47,-1.94,-8.64,-26.32,7.75,-3.83,29.78,36.58,89.66,2.17,False
9.21,-40.1,2.33,-101.38,0.2,20.96,7.04,-5.93,-0.46,-2.28,-10.51,-51.43,6.55,-8.22,44.38,33.61,112.62,2.01,False
9.05,-2.43,2.92,-137.92,0.2,23.7,9.04,-0.38,-2.17,-1.96,-7.26,-18.77,6.87,-2.34,46.92,30.76,113.71,2.2,False
10.27,-17.46,4.02,161.93,0.19,25.25,9.8,-3.08,-3.82,1.25,-6.25,-17.17,5.97,-1.84,22.72,23.83,93.11,2.35,False
3.66,8.65,2.18,-154.77,0.18,24.07,3.62,0.55,-1.97,-0.93,-1.71,-13.25,1.66,-0.39,54.22,38.82,125.25,2.38,False
5.76,-5.01,2.38,-111.04,0.18,20.58,5.74,-0.5,-0.86,-2.22,-5.62,-29.14,4.91,-2.73,40.43,34.61,106.88,2.28,False
10.01,-45.98,2.35,-112.6,0.19,24.61,6.95,-7.2,-0.9,-2.17,-11.13,-57.27,6.02,-9.37,48.65,29.19,118.35,2.1,False
8.69,-64.74,-6.44,83.04,0.19,7.91,3.71,-7.86,0.78,6.39,-4.75,-17.98,4.52,-1.47,32.87,2.38,86.83,2.2,False
8.2,-14.17,2.41,-127.0,0.2,25.76,7.95,-2.01,-1.45,-1.92,-7.61,-31.17,6.51,-3.94,45.99,25.4,114.87,2.45,False
10.59,-8.75,4.09,170.56,0.2,23.29,10.47,-1.61,-4.04,0.67,-6.5,-8.41,6.43,-0.95,39.32,23.94,105.81,2.31,False
8.44,-57.83,6.44,93.58,0.18,13.28,4.49,-7.14,-0.4,6.43,-4.18,-9.83,4.12,-0.71,20.56,1.15,52.36,1.53,False
4.61,6.53,4.22,-160.13,0.18,25.22,4.58,0.52,-3.97,-1.44,-1.13,-56.7,0.62,-0.94,59.81,36.71,131.41,2.43,False
5.58,-21.78,2.38,-127.37,0.18,21.46,5.18,-2.07,-1.45,-1.89,-5.47,-46.65,3.76,-3.98,40.43,38.97,106.88,2.3,False
12.27,7.58,3.16,-149.23,0.16,15.17,12.16,1.62,-2.71,-1.62,-9.46,0.07,9.46,0.01,9.12,22.57,84.09,1.74,False
-2.95,107.49,2.23,-134.5,0.18,21.67,-0.89,2.81,-1.56,-1.59,2.72,153.73,-2.44,1.2,45.81,39.95,118.55,2.33,False
13.02,-8.24,3.9,167.42,0.2,25.22,12.89,-1.87,-3.81,0.85,-9.13,-6.44,9.07,-1.02,42.42,29.25,110.4,2.42,False
12.23,-19.38,2.84,-173.18,0.2,31.64,11.54,-4.06,-2.82,-0.34,-9.77,-26.8,8.72,-4.41,86.34,9.15,150.94,2.4,False
-9.36,-98.63,4.08,150.1,0.19,0.09,-1.4,-9.25,-3.54,2.04,8.75,-123.91,-4.88,-7.26,72.36,34.85,142.47,2.15,False
4.72,-49.52,6.72,116.73,0.1,0.05,3.07,-3.59,-3.02,6.0,-2.41,89.4,0.03,2.41,20.47,17.4,93.67,1.82,False
0.67,-83.62,2.03,-162.78,0.17,2.38,0.07,-0.67,-1.94,-0.6,2.25,-145.84,-1.87,-1.27,26.51,277.79,89.08,2.22,False
3.65,-55.93,-4.94,64.18,0.1,0.05,2.05,-3.03,2.15,4.44,-4.43,18.83,4.19,1.43,79.66,147.81,149.61,2.54,False
2.39,-49.39,4.55,112.06,0.17,1.68,1.56,-1.81,-1.71,4.22,2.41,93.86,-0.16,2.4,8.25,62.93,81.95,1.74,False
9.86,11.32,4.78,-172.54,0.2,4.46,9.67,1.94,-4.74,-0.62,-5.1,14.56,4.94,1.28,67.33,14.04,137.3,2.59,False
1.36,16.07,1.97,-166.51,0.19,0.96,1.3,0.38,-1.92,-0.46,0.62,-172.48,-0.61,-0.08,69.9,243.58,142.41,2.49,False
5.38,-28.14,2.52,164.6,0.11,9.26,4.74,-2.54,-2.43,0.67,-2.96,-38.51,2.32,-1.85,83.42,32.45,147.0,2.55,False
1.5,-89.8,-2.86,-73.15,0.05,0.03,0.01,-1.5,0.83,-2.74,-4.32,-78.89,0.83,-4.24,74.22,320.19,142.77,2.63,False
13.14,-39.42,4.43,168.45,0.18,0.09,10.15,-8.34,-4.34,0.89,-9.46,-52.15,5.8,-7.47,83.27,108.63,149.57,2.42,False
5.78,-46.82,1.63,98.88,0.19,0.86,3.95,-4.21,-0.25,1.61,-4.52,-35.23,3.69,-2.61,63.98,14.95,135.87,2.58,False
9.38,42.57,4.43,-161.12,0.19,0.1,6.91,6.35,-4.19,-1.43,-5.6,60.8,2.73,4.89,74.03,138.37,138.99,2.32,False
9.45,-11.14,4.9,155.4,0.0,0.0,9.27,-1.83,-4.45,2.04,-4.81,2.19,4.81,0.18,69.8,16.23,140.51,2.6,False
7.48,-14.3,2.6,-166.99,0.2,0.76,7.25,-1.85,-2.54,-0.59,-5.31,-27.4,4.72,-2.45,87.97,41.0,149.08,2.46,False
7.78,-40.37,2.38,-127.18,0.19,0.1,5.92,-5.04,-1.44,-1.9,-8.28,-57.06,4.5,-6.95,78.87,35.04,149.05,2.16,False
7.3,-15.26,2.58,-168.27,0.2,2.68,7.04,-1.92,-2.52,-0.52,-5.15,-28.49,4.53,-2.46,90.38,20.43,149.79,2.63,False
9.67,-8.39,2.85,152.07,0.2,12.11,9.57,-1.41,-2.52,1.34,-7.04,-0.73,7.04,-0.09,75.38,16.24,139.33,2.28,False
-2.36,-90.15,-2.09,-45.39,0.2,1.35,-0.01,-2.36,1.47,-1.49,-4.12,-69.23,1.46,-3.85,63.74,14.05,135.28,2.59,False
-3.22,-99.61,-2.75,3.41,0.07,0.03,-0.54,-3.18,2.74,0.16,-3.71,-53.44,2.21,-2.98,56.11,108.93,127.53,2.26,False
3.93,2.3,2.59,-164.53,0.19,0.09,3.93,0.16,-2.5,-0.69,-1.54,-21.0,1.44,-0.55,88.4,41.46,151.46,2.36,False
1.34,6.9,1.99,-176.56,0.1,0.05,1.33,0.16,-1.99,-0.12,0.66,176.05,-0.66,0.05,71.81,184.97,144.12,2.51,False
10.11,-62.56,6.48,94.52,0.2,0.49,4.66,-8.97,-0.51,6.46,-4.82,-31.46,4.12,-2.52,70.75,16.7,141.24,2.6,False
-4.4,-106.91,-2.66,3.7,0.2,2.5,-1.28,-4.21,2.65,0.17,-4.26,-71.05,1.38,-4.03,68.56,262.42,138.39,2.61,False
2.7,30.43,-1.11,21.61,0.2,4.44,2.32,1.37,1.03,0.41,-3.8,28.15,3.35,1.79,29.02,98.5,106.95,1.99,False
13.32,31.28,2.9,-122.23,0.19,23.59,11.38,6.91,-1.55,-2.46,-10.8,24.35,9.84,4.45,87.13,13.18,150.31,2.33,False
6.08,66.12,2.57,-104.14,0.19,27.42,2.46,5.56,-0.63,-2.49,-3.58,58.79,1.85,3.06,83.71,31.79,149.62,2.5,False
8.97,44.91,4.41,-161.68,0.19,3.89,6.35,6.33,-4.19,-1.39,-5.37,66.14,2.17,4.91,65.03,89.67,135.63,2.05,False
2.15,-44.11,-1.65,0.93,0.2,15.01,1.54,-1.5,1.65,0.03,-3.51,-24.79,3.19,-1.47,2.89,0.0,86.66,1.86,False
13.85,8.15,2.91,-144.81,0.19,14.84,13.71,1.96,-2.38,-1.68,-11.34,1.42,11.34,0.28,82.42,12.84,148.94,2.29,False
5.71,38.67,2.57,-135.51,0.2,30.3,4.46,3.57,-1.83,-1.8,-3.17,33.57,2.64,1.75,83.71,31.79,149.62,2.51,False
5.44,-21.15,1.66,129.22,0.19,5.1,5.07,-1.96,-1.05,1.29,-4.07,-9.67,4.02,-0.68,55.33,10.23,126.48,2.53,False
